0,0,0

10,4,-6

20,28,8

30,44,14

40,56,16

50,74,24

60,94,34

70,100,30

80,120,40

90,134,44

100,152,52

110,126,16

120,203,83

130,194,64

140,196,56

150,228,78

160,238,78

170,256,86

180,268,88

190,284,94

200,308,108

210,318,108

220,332,112

230,356,126

240,364,124

250,374,124

260,390,130

270,398,128

280,422,142

290,446,156

300,447,147

310,462,152

320,495,175

330,478,148

340,510,170

350,524,174

360,534,174

370,551,181

380,650,270

390,575,185

400,598,198

410,614,204

420,626,206

430,644,214

440,655,215

450,670,220

460,687,227

470,702,232

480,718,238

490,734,244

500,752,252

510,764,254

520,780,260

530,792,262

540,846,306

550,830,280

560,839,279

570,962,392

580,868,288

590,888,298

600,908,308

610,916,306

620,924,304

630,952,322

640,962,322

650,975,325

660,990,330

670,1004,334

680,1018,338

690,1034,344

700,1052,352

710,1066,356

720,1079,359

730,1094,364

740,1110,370

750,1122,372

760,1138,378

770,1156,386

780,1172,392

790,1186,396

800,1205,405

810,1218,408

820,1222,402

830,1244,414

840,1242,402

850,1252,402

860,1300,440

870,1302,432

880,1316,436

890,1342,452

900,1352,452

910,1362,452

920,1374,454

930,1392,462

940,1406,466

950,1422,472

960,1436,476

970,1456,486

980,1490,510

990,1482,492

1000,1482,482

1010,1528,518

1020,1530,510

1030,1540,510

1040,1556,516

1050,1574,524

1060,1590,530

1070,1604,534

1080,1554,474

1090,1702,612

1100,1662,562

1110,1678,568

1120,1820,700

1130,1638,508

1140,1719,579

1150,1727,577

1160,1738,578

1170,1756,586

1180,1775,595

1190,1786,596

1200,1815,615

1210,1824,614

1220,1834,614

1230,1847,617

1240,1858,618

1250,1887,637

1260,1892,632

1270,1908,638

1280,1920,640

1290,1940,650

1300,1952,652

1310,1966,656

1320,1982,662

1330,1994,664

1340,2006,666

1350,2028,678

1360,2044,684

1370,2060,690

1380,2072,692

1390,2076,686

1400,2106,706

1410,2122,712

1420,2134,714

1430,2150,720

1440,2158,718

1450,2170,720

1460,2189,729

1470,2207,737

1480,2220,740

1490,2239,749

1500,2253,753

1510,2262,752

1520,2277,757

1530,2300,770

1540,2310,770

1550,2324,774

1560,2344,784

1570,2354,784

1580,2374,794

1590,2390,800

1600,2402,802

1610,2414,804

1620,2430,810

1630,2447,817

1640,2463,823

1650,2480,830

1660,2490,830

1670,2508,838

1680,2522,842

1690,2534,844

1700,2543,843

1710,2564,854

1720,2582,862

1730,2598,868

1740,2614,874

1750,2624,874

1760,2638,878

1770,2661,891

1780,2668,888

1790,2690,900

1800,2710,910

1810,2718,908

1820,2732,912

1830,2748,918

1840,2757,917

1850,2780,930

1860,2791,931

1870,2809,939

1880,2824,944

1890,2834,944

1900,2842,942

1910,2874,964

1920,2884,964

1930,2898,968

1940,2914,974

1950,2934,984

1960,2943,983

1970,2888,918

1980,2975,995

1990,2988,998

2000,2991,991

2010,3020,1010

2020,3031,1011

2030,3046,1016

2040,3066,1026

2050,3081,1031

2060,3090,1030

2070,3115,1045

2080,3128,1048

2090,3142,1052

2100,3156,1056

2110,3169,1059

2120,3186,1066

2130,3202,1072

2140,3212,1072

2150,3230,1080

2160,3218,1058

2170,3258,1088

2180,3274,1094

2190,3293,1103

2200,3302,1102

2210,3324,1114

2220,3338,1118

2230,3362,1132

2240,3367,1127

2250,3381,1131

2260,3404,1144

2270,3410,1140

2280,3420,1140

2290,3440,1150

2300,3457,1157

2310,3492,1182

2320,3486,1166

2330,3501,1171

2340,3509,1169

2350,3533,1183

2360,3550,1190

2370,3564,1194

2380,3574,1194

2390,3594,1204

2400,3609,1209

2410,3625,1215

2420,3634,1214

2430,3654,1224

2440,3662,1222

2450,3684,1234

2460,3692,1232

2470,3708,1238

2480,3728,1248

2490,3740,1250

2500,3753,1253

2510,3727,1217

2520,3789,1269

2530,3801,1271

2540,3819,1279

2550,3831,1281

2560,3834,1274

2570,3865,1295

2580,3883,1303

2590,3897,1307

2600,3900,1300

2610,3927,1317

2620,3937,1317

2630,3954,1324

2640,3969,1329

2650,3987,1337

2660,3998,1338

2670,4014,1344

2680,4019,1339

2690,4047,1357
