Energy,dN/dE*10^-4,dN/dE,E*dN/dE
7.446865864702971,0.00025550970903525017,2.555097090352502,4.488530276640024
9.538399238314735,0.00016967959918688967,1.6967959918688966,3.8179333817190653
11.84512684125444,0.0001480370323566661,1.480370323566661,4.136502644692794
15.171959706685165,0.00012915496650148773,1.2915496650148772,4.622490338114195
19.433169811198148,9.830884473994768e-05,0.9830884473994768,4.506708399672275
24.891187177649897,6.528521141127821e-05,0.6528521141127821,3.833395650761346
31.882148158648913,4.335478501746005e-05,0.4335478501746005,3.260677397353822
40.83659666191982,3.3000347911252754e-05,0.33000347911252753,3.1790055014524827
52.3059995402453,1.9119717955004944e-05,0.19119717955004945,2.3591535432794353
69.10209531794115,1.1077568505097042e-05,0.11077568505097042,1.8057552285944092
88.51017130182889,5.599485806609278e-06,0.055994858066092786,1.1691346977167563
124.39656355081672,2.830426305555396e-06,0.02830426305555396,0.8305837982854645
185.99406072433072,8.289312615337137e-07,0.008289312615337137,0.3636979181601995
204.08557677855228,5.504789807854945e-07,0.005504789807854945,0.2650185504467463
314.7318915713827,1.847849797422287e-07,0.0018478497974222868,0.13719258490151579
428.8626335482619,1.070605893154232e-07,0.001070605893154232,0.10831062405230256
500.6185480419776,5.4116952654646267e-08,0.0005411695265464627,0.06390921600367029
703.5940176169865,1.8165997883753213e-08,0.00018165997883753214,0.030151201128839667
772.0321301878924,1.8165997883753213e-08,0.00018165997883753214,0.03308398799930287
873.7483277008978,1.206372646810021e-08,0.0001206372646810021,0.02486514861834904
1228.0090273875533,5.320175096324741e-09,5.3201750963247405e-05,0.015411705645958174
1306.4026439427787,5.320175096324741e-09,5.3201750963247405e-05,0.016395557813105113
1306.4026439427787,3.0823992397451183e-09,3.082399239745118e-05,0.00949924655172055
2014.677282795501,1.7858782655001199e-09,1.78587826550012e-05,0.008487515132394917
2280.1135313774284,9.027251779484541e-10,9.027251779484541e-06,0.004855514415094712
2425.671374923132,9.027251779484541e-10,9.027251779484541e-06,0.005165480650477433
3106.947595851656,4.5630923599031475e-10,4.5630923599031475e-06,0.0033443860846846495
3979.5676624473854,1.5317404637020734e-10,1.5317404637020734e-06,0.0014379517003287332
5097.272577478355,1.5317404637020734e-10,1.5317404637020734e-06,0.001841816094494142
7860.79185745426,3.414548873833587e-11,3.414548873833587e-07,0.0006331736755273286
7860.79185745426,3.913745601980376e-11,3.9137456019803764e-07,0.0007257417537276713
12122.57098026098,1.3137675134229727e-11,1.3137675134229726e-07,0.00037569591636893527
15054.244146806324,6.640827850634797e-12,6.640827850634797e-08,0.00023583290332394337
17573.07178825481,3.356803550946693e-12,3.3568035509466926e-08,0.00013915436358324742
25474.204488304742,3.356803550946693e-12,3.3568035509466926e-08,0.00020172037968505855
27952.063069777178,1.6967959918688898e-12,1.6967959918688897e-08,0.00011188367357631583
48785.78402364723,2.8791166380223293e-13,2.8791166380223292e-09,3.3134144995623315e-05
62487.802738247054,4.969312358864732e-13,4.9693123588647325e-09,7.325120451062429e-05
77599.59831547152,1.2697075549188058e-13,1.269707554918806e-09,2.3242690395034184e-05
