Power,11,12,13,14,15,16,17,18,19,20,21,22,23,23.999,
0.3,-0.1605136437,-0.1605136437,-0.3210272873,-0.3210272873,-0.3210272873,-0.1605136437,-0.1605136437,-0.1605136437,-0.1605136437,-0.1605136437,-0.1605136437,0,0,0.3,0.623
0.6,-0.0798084597,-0.0798084597,-0.0798084597,-0.0798084597,-0.0798084597,-0.0798084597,-0.0798084597,0,0,0,0,0,0,0.6,1.253
0.9,-0.1061571125,-0.1061571125,-0.1061571125,-0.1592356688,-0.1061571125,-0.1061571125,-0.1061571125,-0.0530785563,-0.0530785563,-0.0530785563,0,0,0,0.9,1.884
1.2,-0.1591089897,-0.1193317422,-0.1591089897,-0.1193317422,-0.1193317422,-0.0795544948,-0.0795544948,-0.0795544948,-0.0397772474,-0.0397772474,0,0,0,1.2,2.514
1.5,-0.2226463104,-0.1590330789,-0.1590330789,-0.1590330789,-0.1590330789,-0.0954198473,-0.0954198473,-0.0636132316,-0.0636132316,-0.0318066158,-0.0318066158,0,0,1.5,3.144
1.8,-0.2650410814,-0.2120328651,-0.185528757,-0.185528757,-0.1325205407,-0.1060164325,-0.1060164325,-0.0795123244,-0.0530082163,-0.0265041081,-0.0265041081,0,0,1.8,3.773
2.1,-0.3634711495,-0.2498864153,-0.2044525216,-0.2044525216,-0.1817355747,-0.1363016811,-0.1363016811,-0.0908677874,-0.0681508405,-0.0454338937,-0.0227169468,0,0,2.1,4.402
2.4,-0.3976143141,-0.2783300199,-0.2385685885,-0.2186878728,-0.1988071571,-0.1391650099,-0.1391650099,-0.0994035785,-0.0795228628,-0.0397614314,-0.0397614314,0,0,2.4,5.03
2.7,-0.3711558855,-0.3181336161,-0.2827854366,-0.247437257,-0.2120890774,-0.1767408978,-0.1590668081,-0.1237186285,-0.0883704489,-0.0706963591,-0.0530222694,-0.0176740898,-0.0176740898,2.7,5.658
3,-0.4136833731,-0.3500397772,-0.3023070804,-0.2704852824,-0.2386634845,-0.1750198886,-0.1750198886,-0.1272871917,-0.1113762928,-0.0636435959,-0.0477326969,-0.015910899,-0.015910899,3,6.285
3.3,-0.5788712012,-0.4341534009,-0.4341534009,-0.4341534009,-0.2894356006,-0.2894356006,-0.2894356006,-0.1447178003,-0.1447178003,-0.1447178003,-0.1447178003,-0.1447178003,-0.1447178003,3.3,6.91
3.6,-0.5312084993,-0.3984063745,-0.3984063745,-0.2656042497,-0.2656042497,-0.2656042497,-0.2656042497,-0.1328021248,-0.1328021248,-0.1328021248,0,0,0,3.6,7.53
3.9,-0.612745098,-0.4901960784,-0.4901960784,-0.3676470588,-0.3676470588,-0.2450980392,-0.2450980392,-0.2450980392,-0.2450980392,-0.1225490196,-0.1225490196,-0.1225490196,-0.1225490196,3.9,8.16
4.2,-0.569476082,-0.4555808656,-0.3416856492,-0.3416856492,-0.3416856492,-0.2277904328,-0.2277904328,-0.2277904328,-0.1138952164,-0.1138952164,-0.1138952164,0,0,4.2,8.78
4.3,-0.6674082314,-0.5561735261,-0.4449388209,-0.4449388209,-0.3337041157,-0.3337041157,-0.2224694105,-0.2224694105,-0.2224694105,-0.1112347052,-0.1112347052,-0.1112347052,0,4.3,8.99
4.4,-0.652173913,-0.5434782609,-0.5434782609,-0.4347826087,-0.3260869565,-0.3260869565,-0.3260869565,-0.2173913043,-0.2173913043,-0.1086956522,-0.1086956522,-0.1086956522,-0.1086956522,4.4,9.2
4.5,-0.6382978723,-0.4255319149,-0.4255319149,-0.3191489362,-0.3191489362,-0.2127659574,-0.2127659574,-0.2127659574,-0.1063829787,-0.1063829787,0,0,0,4.5,9.4
4.64,-0.6191950464,-0.515995872,-0.4127966976,-0.3095975232,-0.3095975232,-0.2063983488,-0.2063983488,-0.1031991744,-0.1031991744,-0.1031991744,0,0,0,4.64,9.69
